cIdx,tIdx,mPos_x,mPos_y,tPos_x,tPos_y,delta_move_x,delta_move_y,error_x,error_y,click_time,delta_time
0,0,1219.488,536.9966,1216,540,259.4882,-3.003357,3.488159,-3.003357,0.6109762,0.6109762
0,1,698.1089,534.594,704,540,-261.8911,-5.406006,-5.891052,-5.406006,1.156724,1.156724
0,2,1212.28,623.4928,1206.507,609.068,252.2802,83.4928,5.773315,14.4248,1.730157,1.730157
0,3,722.1356,473.3259,713.4932,470.932,-237.8644,-66.67407,8.642456,2.393921,2.314238,2.314238
0,4,1187.052,678.7542,1178.731,673.0135,227.0521,138.7542,8.320801,5.740723,2.873617,2.873617
0,5,737.753,413.2592,741.2687,406.9865,-222.247,-126.7408,-3.515686,6.272736,3.42455,3.42455
0,6,1136.596,734.0156,1134.734,727.094,176.5961,194.0156,1.862427,6.92157,3.930342,3.930342
0,7,782.2023,355.5951,785.2664,352.9059,-177.7977,-184.4049,-3.064087,2.689178,4.428793,4.428793
0,8,1081.335,776.0623,1077.777,767.2986,121.3347,236.0623,3.558105,8.763733,4.96098,4.96098
0,9,842.2691,315.951,842.2234,312.7014,-117.7309,-224.049,0.04571533,3.249695,5.562247,5.562247
0,10,1011.657,802.4917,1012.085,790.6455,51.65729,262.4917,-0.4274292,11.84619,6.233786,6.233786
0,11,917.9532,291.9244,907.9153,289.3545,-42.04681,-248.0756,10.0379,2.569885,6.851655,6.851655
0,12,940.7785,794.0823,942.5299,795.4032,-19.2215,254.0823,-1.751404,-1.320862,7.387103,7.387103
0,13,985.2279,279.911,977.47,284.5968,25.22791,-260.089,7.757874,-4.685791,7.901606,7.901606
0,14,873.5038,795.2836,874.2708,781.2188,-86.49622,255.2836,-0.7670288,14.06488,8.486252,8.486252
0,15,1044.093,303.9377,1045.729,298.7812,84.09326,-236.0623,-1.635864,5.156525,9.141978,9.141978
0,16,797.8197,753.2369,812.3698,749.1443,-162.1803,213.2369,-14.55011,4.092651,9.743405,9.743405
0,17,1112.569,329.1657,1107.63,330.8558,152.5693,-210.8343,4.939087,-1.690033,10.34781,10.34781
0,18,761.7797,701.5795,761.4179,701.5585,-198.2203,161.5795,0.3617554,0.02099609,10.93069,10.93069
0,19,1157.019,379.6218,1158.582,378.4415,197.0188,-160.3782,-1.563354,1.180267,11.49045,11.49045
0,20,734.149,642.7141,725.1939,641.9907,-225.851,102.7141,8.955078,0.7234497,12.24801,12.24801
0,21,1199.066,434.8832,1194.806,438.0094,239.0656,-105.1168,4.259399,-3.12619,12.88672,12.88672
0,22,701.713,577.842,706.3844,574.8586,-258.287,37.84204,-4.671448,2.983398,13.48628,13.48628
